offset,texto,tamanho_bytes,encoding,texto_traduzido
0xa1f934,Stay alert!,11,shift_jis,
0xa1f950,He'll be through here...|I know it.,36,latin-1,
0xa1f988,I'm going to swat down|a couple of bothersome flies.,53,latin-1,
0x10e79d4,A Hind D?,9,shift_jis,
0x10e79f0,"Colonel,",8,shift_jis,
0x10e7a0c,what's a Russian gunship doing here?,36,shift_jis,
0x10e7a44,I have no idea...,17,shift_jis,
0x10e7a68,but it looks like our little diversion|got their attention.,60,latin-1,
0x10e7ab8,Now's your best chance to slip in|unnoticed!,45,latin-1,
0x13d20e4,Were the all SOCOM pistols|unloaded?,36,shift_jis,
0x13d211c,Yeah. But there was a problem.,30,shift_jis,
0x13d214c,What is it?,11,shift_jis,
0x13d2168,The security on the door was broken.,36,shift_jis,
0x13d21a0,So the door is still open?|2nd floor where?,44,latin-1,
0x13d21e0,The east side room.,19,shift_jis,
0x13d2204,We'd better fix it before the Boss|finds out...,48,latin-1,
0x14a18e4,But that's nothing.,19,shift_jis,
0x14a1908,I heard they spotted an intruder|outside.,42,latin-1,
0x14a1944,Really!?,8,shift_jis,
0x14a1960,Maybe we'll finally get to see|some action...,46,latin-1,
0x14a19a0,"Yeah, but we'd better do|something about that door.",52,latin-1,
0x14a19e8,Let's put in an order to have it|repaired.,43,latin-1,
0x1546120,I moved the DARPA Chief to the cell|in the 1st floor basement.,63,latin-1,
0x1546170,What about the vent shaft cleaning?,35,shift_jis,
0x15461a4,They just opened the vent covers.,33,shift_jis,
0x15461d8,They're about to start spraying|for rats.,42,latin-1,
0x1546214,1st floor basement ventilation shaft...,39,shift_jis,
0x154624c,Shut those covers as soon as|they're done spraying.,52,latin-1,
0x1546294,"Also, keep your eye on|that woman in the cell.",47,latin-1,
0x15462d4,Don't get careless now.,23,shift_jis,
0x15462fc,Woman in the cell?,18,shift_jis,
0x1689120,Did something happen?,21,shift_jis,
0x1689148,There's an intruder.,20,shift_jis,
0x1689170,Really?,7,shift_jis,
0x1689188,He's already done three people.,31,shift_jis,
0x16891b8,He's killed three people?,25,shift_jis,
0x16891e4,Yeah.,5,shift_jis,
0x16891fc,They say he's using stealth too.,32,shift_jis,
0x1689230,Stealth?,8,shift_jis,
0x168924c,There's an intruder besides me?,31,shift_jis,
0x168927c,"Anyway, I want you to increase|the security detail on the chief.",65,latin-1,
0x178b8e4,"Who...who, who's that??",23,shift_jis,
0x178b90c,I'm here to save you.,21,shift_jis,
0x178b934,"You're the DARPA chief,|Donald Anderson, right?",48,latin-1,
0x178b978,"You're here to save me, huh?",28,shift_jis,
0x178b9a8,What's your outfit?,19,shift_jis,
0x178b9cc,I'm the pawn they sent here|to save your worthless butt.,57,latin-1,
0x178ba34,It's true...,12,shift_jis,
0x178ba54,You don't look like one of them.,32,shift_jis,
0x178ba88,"In that case, hurry up and|get me out of here.",47,latin-1,
0x178bac8,Slow down. Don't worry.,23,shift_jis,
0x178baf0,First I want some information...|about the terrorists.,55,latin-1,
0x178bb38,The terrorists?,15,shift_jis,
0x178bb58,Do they really have the ability|to launch a nuke?,50,latin-1,
0x178bb9c,What are you talking about?,27,shift_jis,
0x178bbc8,The terrorists are threatening|the White House.,48,latin-1,
0x178bc0c,"They say if they don't accede|to their demands,",48,latin-1,
0x178bc84,Sweet Jesus...,14,shift_jis,
0x178bca4,Is it possible!?,16,shift_jis,
0x178bcc8,...It's possible.,17,shift_jis,
0x178bcec,They...,7,shift_jis,
0x178bd04,...could launch a nuke.,23,shift_jis,
0x178bd2c,How do they plan to launch?,27,shift_jis,
0x178bd58,I thought this place was just for...,37,shift_jis,
0x178bd90,keeping the dismantled warheads.,32,shift_jis,
0x178bdc4,They shouldn't have access to|a missile...,43,latin-1,
0x178be00,What I'm about to tell you is|classified information.,54,latin-1,
0x178be48,Okay?,5,shift_jis,
0x178be60,We were conducting exercises|with a new type of...,51,latin-1,
0x178bea4,experimental weapon.,20,shift_jis,
0x178becc,A weapon that will change the world.,36,shift_jis,
0x178bf04,What?,5,shift_jis,
0x178bf1c,A weapon with the ability to|launch a nuclear attack...,56,latin-1,
0x178bf68,from any place on the face of|the earth...,43,latin-1,
0x178bfa4,...a nuclear equipped|walking battle tank.,43,latin-1,
0x1c73880,Metal Gear!?,12,shift_jis,
0x1c738a0,...It can't be!,15,shift_jis,
0x1c738c0,...You knew!?,13,shift_jis,
0x1c738e0,Metal Gear is one of the most secret|black projects!,53,latin-1,
0x1c73928,How did you know that?,22,shift_jis,
0x1c73950,We've had a couple of run-ins|in the past.,43,latin-1,
0x1c7398c,So that's the reason you were here|at this disposal site?,58,latin-1,
0x1c739d8,Why else would I come to a|God forsaken place like this.,57,latin-1,
0x1c73a24,I had heard the Metal Gear project|was scrapped.,49,latin-1,
0x1c73a68,"On the contrary,",16,shift_jis,
0x1c73a8c,it's grown into a huge joint project|between ArmsTech and ourselves.,69,latin-1,
0x1c73ae4,We were going to use this exercise|as raw data...,50,latin-1,
0x1c73b28,and then proceed to mass production.,36,shift_jis,
0x1e128f8,If it hadn't been for the revolution...,39,shift_jis,
0x1e12930,Revolution...?,14,shift_jis,
0x1e12950,Rex has fallen into the hands of|terrorists...,47,latin-1,
0x1e12990,Rex?,4,shift_jis,
0x1e129a8,Metal Gear Rex.,15,shift_jis,
0x1e129c8,The code name for the new Metal Gear|prototype.,48,latin-1,
0x1e12a0c,They're probably already finished|arming the warhead,53,latin-1,
0x1e12a54,they plan to use with Rex.,26,shift_jis,
0x1e12a80,These guys are pros.,20,shift_jis,
0x1e12aa8,They're all experienced in handling|and equipping weapons.,59,latin-1,
0x1e12af4,Hey!,4,shift_jis,
0x1e12b0c,Shut up in there willya!,24,shift_jis,
0x1e12b38,But I thought that all nuclear|warheads were equipped with,59,latin-1,
0x1e12b84,safety measures.,16,shift_jis,
0x1e12ba8,Some kind of detonation code|that you have to input...,55,latin-1,
0x1e12bf0,"Oh, you mean PAL.",17,shift_jis,
0x1e12c14,"Yes, of course, there is a PAL.",31,shift_jis,
0x1e12c44,It's set up so that you need to input|two different passwords,62,latin-1,
0x1e12c94,in order to launch the device.,30,shift_jis,
0x1e12cc4,There are two passwords?,24,shift_jis,
0x1e12d08,"Baker knows one, and I know one.",32,shift_jis,
0x1e12d3c,Baker?|The president of ArmsTech?,34,latin-1,
0x1e12d70,That's right.,13,shift_jis,
0x1e12d90,Each of us needs to input our password,38,shift_jis,
0x1e12dc8,or there can be no launch.,26,shift_jis,
0x1e12df4,But...,6,shift_jis,
0x1e12e0c,They found out my password.,27,shift_jis,
0x1e12e38,You talked?,11,shift_jis,
0x1e12e54,Psycho Mantis can read people's minds.,38,shift_jis,
0x1e12e8c,You can't resist.,17,shift_jis,
0x1e12eb0,Psycho Mantis?,14,shift_jis,
0x1e12ed0,One of the members of FOX-HOUND.|He has psychic powers.,56,latin-1,
0x1e12f1c,...This is bad...,17,shift_jis,
0x1e12f40,It's just a matter of time before|they get Baker's too...,58,latin-1,
0x22fc90c,If they find out Baker's password...,36,shift_jis,
0x22fc95c,They'll be able to launch a nuke|anytime.,42,latin-1,
0x22fc998,But...there is a way|to stop the launch.,41,latin-1,
0x22fc9ec,The card keys.,14,shift_jis,
0x22fca0c,Card keys?,10,shift_jis,
0x22fca28,"They were designed by ArmsTech,|the system developers,",55,latin-1,
0x22fca70,as an emergency override.,25,shift_jis,
0x22fca9c,"Even without the passwords,|you can just insert the card keys",62,latin-1,
0x22fcaec,and engage the safety lock...,29,shift_jis,
0x22fcb1c,And if I do that?,17,shift_jis,
0x22fcb58,You can stop the launch.,24,shift_jis,
0x22fcb84,That card key...?,17,shift_jis,
0x22fcba8,"So, where are the keys?",23,shift_jis,
0x22fcbd0,Baker should have them.,23,shift_jis,
0x22fcbf8,Listen.|You need three card keys.,34,latin-1,
0x22fcc2c,There are three different slots|to put them in.,48,latin-1,
0x22fcc70,You need to insert a card|into each one of them.,49,latin-1,
0x22fccb4,"OK, three card keys.",20,shift_jis,
0x22fccdc,Do you know where they might|be keeping Baker?,47,latin-1,
0x22fcd1c,Somewhere in the 2nd floor basement.,36,shift_jis,
0x22fcd54,2nd floor basement?,19,shift_jis,
0x22fcd78,I heard the guard say|they moved him to an area...,51,latin-1,
0x22fcdbc,that has a lot of electronic|jamming.,38,latin-1,
0x22fcdf4,Any other clues?,16,shift_jis,
0x22fce18,"Yes...they cemented over|the entrances,",40,latin-1,
0x22fce54,but didn't have enough time to|paint them.,43,latin-1,
0x22fce90,Why don't you look for the areas,32,shift_jis,
0x22fcec4,where the walls are|a different color?,39,latin-1,
0x22fcefc,"Here, take this. It's my ID card.",33,shift_jis,
0x22fcf30,It'll open any level one|security door.,40,latin-1,
0x22fcf6c,It's called a PAN card.,23,shift_jis,
0x22fcf94,It works together with your|body's own electrical field.,57,latin-1,
0x22fcfe0,"Personal Area Network, huh?",27,shift_jis,
0x22fd00c,It transmits data using the salts in your|body as the transmission medium.,75,latin-1,
0x22fd068,"As you approach the door's security|devices,",45,latin-1,
0x22fd0a8,they'll read the data stored|in the card...,44,latin-1,
0x22fd0e8,And the doors will open|automatically. Gotcha.,47,latin-1,
0x28380e4,OK.|I'm gonna get you out of here.,35,latin-1,
0x2838118,Wait a minute.,14,shift_jis,
0x2838154,You...,6,shift_jis,
0x283816c,"haven't heard any other way to|disarm the PAL, have you?",57,latin-1,
0x28381b8,From your bosses or anyone.,27,shift_jis,
0x28381f8,Are you sure you haven't heard|anything?,41,latin-1,
0x2838234,I just said no.,15,shift_jis,
0x2838254,"So, does the White House plan to|give in to the terrorist's demands?",69,latin-1,
0x28382ac,That's their problem.,21,shift_jis,
0x28382d4,It has nothing to do with|my orders.,37,latin-1,
0x283830c,But...|what about the Pentagon?,32,latin-1,
0x2838340,Pentagon?,9,shift_jis,
0x283835c,....Nnnnnnngggghhh!,19,shift_jis,
0x2838380,What is it!?,12,shift_jis,
0x28383a0,Ww...why?,9,shift_jis,
0x28383bc,Uuuuuugggghhhh!!,16,shift_jis,
0x28383e0,What's that!?,13,shift_jis,
0x2838400,Hey! What happened!,19,shift_jis,
0x2838424,Hmmm...,7,shift_jis,
0x283843c,Dead...,7,shift_jis,
0x2b67148,Don't move!,11,shift_jis,
0x2b67164,So you killed the Chief.|You bastard...!,41,latin-1,
0x2b671a0,Liquid!?|No...you're not.,26,latin-1,
0x2b671cc,Don't move!!!,13,shift_jis,
0x2b671ec,Is this the first time you ever|pointed a gun at a person?,59,latin-1,
0x2b67238,Your hands are shaking.,23,shift_jis,
0x2b67274,"Can you shoot me, rookie?",25,shift_jis,
0x2b672a0,"Careful, I'm no rookie!!",24,shift_jis,
0x2b672cc,Liar! That nervous glance...|that scared look in your eyes.,60,latin-1,
0x2b6731c,They're rookie's eyes if I ever|saw them.,42,latin-1,
0x2b67358,"You've never shot a person,|am I right?",40,latin-1,
0x2b67394,You talk too much.,18,shift_jis,
0x2b673b8,"You haven't even taken the safety| off, rookie.",48,latin-1,
0x2b673fc,I told you I'm no rookie!!!,27,shift_jis,
0x2b67428,"You're not one of them, are you?",32,shift_jis,
0x2b6745c,Open that door!,15,shift_jis,
0x2b6747c,"You've got a card, don't you?",29,shift_jis,
0x2b674ac,Why?,4,shift_jis,
0x2b674c4,So we can get the hell out of|here.,36,latin-1,
0x2b674fc,Looks like we'll be a little|delayed.,38,latin-1,
0x2b67534,What're you doing!?,19,shift_jis,
0x2b67558,Don't think!,12,shift_jis,
0x2b67578,Shoot!,6,shift_jis,
0x33158bc,Thanks for the help.,20,shift_jis,
0x33158e4,Wait!,5,shift_jis,
0x33158fc,Who are you!?,13,shift_jis,
0x33b80e4,You fool!,9,shift_jis,
0x33b8100,You've killed him!!,19,shift_jis,
0x33b8124,"I'm sorry, Sir.",15,shift_jis,
0x33b8144,...His mental shielding was|very strong.,41,latin-1,
0x33b8180,I couldn't dive into his mind.,30,shift_jis,
0x33b81b0,Now we'll never get that|detonation code...,44,latin-1,
0x33b81f0,"Boss, I have a good idea.",25,shift_jis,
0x34b78d0,Uuufff!!,8,shift_jis,
0x34b78ec,Damn...,7,shift_jis,
0x34b7904,Good girl. Just like that...,28,shift_jis,
0x36678e4,Am I too late?,14,shift_jis,
0x3667904,Oooooo.....,11,shift_jis,
0x3667920,Huhuuhuhuh...,13,shift_jis,
0x3667940,He's alive...,13,shift_jis,
0x3667960,"You're the ArmsTech president,|Kenneth Baker, right?",53,latin-1,
0x36679a8,"Don't worry, I'm here to save you.",34,shift_jis,
0x36679dc,Noooo!|Don't touch it...,25,latin-1,
0x3667a20,Right. Touch that wire...,25,shift_jis,
0x3667a4c,and the C4 will blow up|along with the old man!,48,latin-1,
0x3667a90,So you're the one that the Boss|keeps talking about.,53,latin-1,
0x3667ad8,And you?,8,shift_jis,
0x3667af4,Special Operations FOX-HOUND...,31,shift_jis,
0x3667b24,Revolver Ocelot.,16,shift_jis,
0x3667b48,"I've been waiting for you,|Solid Snake.",40,latin-1,
0x3667b84,Now we'll see if the man can|live up to the legend!,52,latin-1,
0x3667bcc,This is the greatest handgun|ever made.,40,latin-1,
0x3667c08,The Colt Single Action Army.,28,shift_jis,
0x3667c38,Six bullets.,12,shift_jis,
0x3667c58,More than enough to kill|anything that moves.,46,latin-1,
0x3667c98,Now I'll show you why they|call me...,38,latin-1,
0x3667cd0,"""Revolver""",10,shift_jis,
0x3667cec,Draw!,5,shift_jis,
0x3b29120,You're pretty good.,19,shift_jis,
0x3b29144,Just what I'd expect from the man with|the same code as the boss.,66,latin-1,
0x3b29198,It's been a long time since I had|such a good fight...,55,latin-1,
0x3b291e0,but I'm just getting warmed up.,31,shift_jis,
0x3b29210,What!,5,shift_jis,
0x3b29228,My hand!!!,10,shift_jis,
0x3b29244,Aaaaaahhh!!,11,shift_jis,
0x3b29260,Uuuunnhh! Ooooof!!,18,shift_jis,
0x3b29284,Stealth camouflage!,19,shift_jis,
0x3b292a8,Can't you even die right!?,26,shift_jis,
0x3b292d4,You were lucky. We'll meet again!,33,shift_jis,
0x3b29308,Who are you!,12,shift_jis,
0x3b29328,I'm like you...I have no name.,30,shift_jis,
0x3b29358,Ohhh...ohhhh!,13,shift_jis,
0x3b29378,That...that exoskeleton...!,27,shift_jis,
0x3b293a4,Ggggyyyaaaaaaahhh!!!,20,shift_jis,
0x3b293cc,Ggggyyyyaaaaaaaahhh!!!,22,shift_jis,
0x3b293f4,Gggggyyyyyaaaaaaaaaaahhhh!!!,28,shift_jis,
0x3b29424,Who the hell...?,16,shift_jis,
0x3ef6920,I'm disappointed.,17,shift_jis,
0x3ef6944,You're no match for the boss.,29,shift_jis,
0x3ef6974,"Playtime's over, friend.|You're not cut out for war.",53,latin-1,
0x3ef69bc,Don't worry.|I'll kill you quickly.,36,latin-1,
0x3ef6a0c,Aaaaaaahhh!!!,13,shift_jis,
0x42c08a8,Can you talk?,13,shift_jis,
0x42c08c8,Who are you?,12,shift_jis,
0x42c08e8,I'm not one of them.,20,shift_jis,
0x42c0910,The DARPA Chief told me|he gave them his detonation code.,58,latin-1,
0x42c095c,What about yours?,17,shift_jis,
0x42c0980,"Oh, I get it. Jim sent you...",29,shift_jis,
0x42c09b0,You...you're from the Pentagon.,31,shift_jis,
0x42c09e0,Answer my question!,19,shift_jis,
0x42c0a04,What about your code!?|There's no time!,40,latin-1,
0x42c0a58,...talked.,10,shift_jis,
0x42c0a8c,Now the terrorists have both codes|and can launch anytime!,59,latin-1,
0x42c0ad8,It's not like I didn't fight.,29,shift_jis,
0x42c0b08,I managed to resist Psycho Mantis'|mind probe.,47,latin-1,
0x42c0b48,He couldn't read you?|How'd you do it?,39,latin-1,
0x42c0b80,Surgical implants in my brain.,30,shift_jis,
0x42c0bb0,Surgical implants?,18,shift_jis,
0x42c0bd4,Kind of like a psychic insulation.,34,shift_jis,
0x42c0c08,Everyone who knows these|top-secret codes has it.,50,latin-1,
0x42c0c4c,Even the DARPA Chief?,21,shift_jis,
0x42c0c74,Of course.,10,shift_jis,
0x42c0c90,But the DARPA Chief said Mantis got|his code by reading his mind.,66,latin-1,
0x42c0ce4,Are you sure you heard him|right?,34,latin-1,
0x42c0d18,"Yeah, I'm sure...",17,shift_jis,
0x42c0d3c,"In that case, how did they get|your code?",42,latin-1,
0x42c0d78,I never had any training on|how to resist torture...,53,latin-1,
0x42c0dc0,It looks like he had some fun|with you all right.,50,latin-1,
0x42c0e04,He's not human.,15,shift_jis,
0x42c0e24,I tell you he loved every|second of it...,42,latin-1,
0x42c0e60,What happened to your arm.,26,shift_jis,
0x42c0e8c,He broke it.,12,shift_jis,
0x42c0eac,Looks like you're more than even|now. His was sliced off.,58,latin-1,
0x42c0ef8,Ha.|You're a funny man.,24,latin-1,
0x42c0f24,...So...the DARPA Chief...|is he okay?,39,latin-1,
0x42c0f5c,Dead.,5,shift_jis,
0x42c0f74,What!?,6,shift_jis,
0x42c0f8c,It can't be!,12,shift_jis,
0x42c0fac,"You know, that's not what you|promised, Jim!",45,latin-1,
0x42c0fec,Now you want to shut me up!,27,shift_jis,
0x42c1018,Calm down!,10,shift_jis,
0x42c1034,What's wrong with you?,23,shift_jis,
0x42c105c,I just told you|I was here to save you!,40,latin-1,
0x42c1098,I didn't kill the DARPA Chief.,30,shift_jis,
0x4713698,He had a heart attack or|something...,38,latin-1,
0x47136d0,"A heart attack?|Oh,  don't be a fool...",40,latin-1,
0x471370c,"Anyway, the terrorists have|both codes now.",44,latin-1,
0x471374c,Those boys are totally insane.,30,shift_jis,
0x471377c,They wouldn't hesitate to launch...,35,shift_jis,
0x47137b0,I agree.|But what do they really want?,39,latin-1,
0x47137e8,Who knows.,10,shift_jis,
0x4713804,Maybe they're like us in the arms|industry...,46,latin-1,
0x4713844,Always looking forward to|the next good war...,47,latin-1,
0x4713884,Well I'm not going to let these maniacs|start a war today.,59,latin-1,
0x47138d0,Do you still have the card keys?,32,shift_jis,
0x4713920,To override the detonation code!|I heard you had them...,57,latin-1,
0x471396c,"No, not anymore...",18,shift_jis,
0x4713990,What!? Who does then!?|Not the terrorists!?,44,latin-1,
0x47139d0,No. That woman.,15,shift_jis,
0x47139f0,Woman!? Who?,12,shift_jis,
0x4713a10,A soldier that was thrown in prison|along with me.,51,latin-1,
0x4713a54,A female soldier? It must be...,31,shift_jis,
0x4713a84,She said that she had just joined up|as a new recruit.,55,latin-1,
0x4713acc,They threw her in prison...,27,shift_jis,
0x4713af8,'cause she refused to take part|in the rebellion.,50,latin-1,
0x4713b3c,A new recruit?|Could that be the Colonel's niece!?,51,latin-1,
0x4713b80,I gave her the key.,19,shift_jis,
0x4713ba4,Looks like she managed to|break out of here though.,52,latin-1,
0x4713bec,I hope she's okay.,18,shift_jis,
0x4713c10,I'm sure she is.,16,shift_jis,
0x4713c34,She's green|...but as tough as they come.,42,latin-1,
0x4713c70,But how did you know she|escaped?,34,latin-1,
0x4713ca4,I was in contact with her|by Codec.,36,latin-1,
0x4713cdc,Until I was tied up here that is.,33,shift_jis,
0x4713d10,Codec?,6,shift_jis,
0x4713d28,Yes.|She stole it from the guard.,34,latin-1,
0x4713d5c,"If she still has it, you should|be able to contact her.",56,latin-1,
0x4713da8,I'm sure she still has it.|What frequency was she at?,54,latin-1,
0x4713df0,Oh yeah.|Let me tell you. It's...,34,latin-1,
0x4713e24,Huh?,4,shift_jis,
0x4713e3c,...Oh...Sorry....,17,shift_jis,
0x4713e60,...I forgot.,12,shift_jis,
0x4713e80,Damn!,5,shift_jis,
0x4713e98,Oh that's right! |It should be on the back of the CD case.,59,latin-1,
0x4b67bc0,Try to contact her.,19,shift_jis,
0x4b67be4,I'll contact her right away.,28,shift_jis,
0x4b67c14,"But tell me...if this doesn't work,",36,shift_jis,
0x4b67c4c,is there some other way to|prevent the missile launch?,55,latin-1,
0x4bbd0a8,Hmmm.,5,shift_jis,
0x4bbd0c0,"You need to find Hal Emmerich,|one of my employees.",52,latin-1,
0x4bbd108,Who's that?,11,shift_jis,
0x4bbd124,The team leader of the Metal Gear|Rex project.,47,latin-1,
0x4bbd164,"A genius at engineering,|but a little bit of an oddball.",57,latin-1,
0x4bbd1b0,"If there's anyone who can figure out how|to stop Metal Gear from launching,",76,latin-1,
0x4bbd210,it's him.,9,shift_jis,
0x4bbd22c,What if he can't come up with anything?,39,shift_jis,
0x4bbd264,You'll have to destroy it.,26,shift_jis,
0x4bbd290,Emmerich knows how to destroy|Metal Gear.,42,latin-1,
0x4bbd2cc,Where is this Emmerich?,23,shift_jis,
0x4bbd2f4,Well... he's probably being held|somewhere in the...,53,latin-1,
0x4bbd33c,Nuclear Warhead Storage Building.,33,shift_jis,
0x4bbd370,It's north from here.|That's where he worked.,46,latin-1,
0x4bbd3b0,"I understand, but...why Metal Gear?",35,shift_jis,
0x4bbd3e4,The Nuclear Age ended with|the turn of the millenium.,54,latin-1,
0x4bbd42c,You're wrong.|The threat of nuclear war isn't gone...,54,latin-1,
0x4bbd474,...in fact it's greater than|it's ever been.,45,latin-1,
0x4db90cc,there's plenty of available nuclear|material and scientists...,63,latin-1,
0x4db911c,for making a bomb.,18,shift_jis,
0x4db9140,We live in an age when any small|country...,44,latin-1,
0x4db9180,can have a nuclear weapons program.,35,shift_jis,
0x4db91b4,What about the other superpowers?,33,shift_jis,
0x4db91e8,Russia and China still maintain|a significant nuclear presence.,64,latin-1,
0x4db923c,Complete nuclear disarmament|is an impossibility...,52,latin-1,
0x4db9284,"To maintain our own policy of|deterrence,",42,latin-1,
0x4db92c0,we need a weapon of|overwhelming power.,40,latin-1,
0x4edb880,You mean Metal Gear.,20,shift_jis,
0x4edb8c0,"You know, our industry suffered|quite a blow...",48,latin-1,
0x4edb904,as a result of the cuts in|military budgets...,47,latin-1,
0x4edb944,"due to this so-called ""peace"".",30,shift_jis,
0x4edb974,I remember hearing a lot about|mergers and takeovers,53,latin-1,
0x4edb9bc,among the big weapons makers.,29,shift_jis,
0x4edba04,And after my company lost their bid|to produce the Air Force's,63,latin-1,
0x4edba54,"next line of fighter jet,",25,shift_jis,
0x4edba80,the Metal Gear system was|our last ace in the hole.,52,latin-1,
0x4edbac8,That's why we pushed to have|Metal Gear,40,latin-1,
0x4edbb04,developed as a black project.,29,shift_jis,
0x4edbb34,Black project?,14,shift_jis,
0x4edbb54,Secret projects paid for by|the Pentagon's black budget.,57,latin-1,
0x4edbba0,You can avoid a lot of red tape|and get a great leadtime,57,latin-1,
0x4edbbec,on your weapons production.,27,shift_jis,
0x4edbc18,And no one can bother you...,28,shift_jis,
0x4edbc48,Not even those bleeding heart liberals|on the military oversight committee.,76,latin-1,
0x507690c,Bribes...,9,shift_jis,
0x5076928,I prefer to think of it as|good business...,44,latin-1,
0x5076968,"Anyway, Metal Gear was going to be|formally adopted...",55,latin-1,
0x50769b0,after the results of this exercise|were analyzed....,53,latin-1,
0x50769f8,I don't give a crap about you|and your company.,48,latin-1,
0x5076a3c,Yes. That's about what I'd expect|from a grunt like you...,59,latin-1,
0x5076aa0,"This is what you came for,|right?",34,latin-1,
0x5076ad4,What's that?,12,shift_jis,
0x5076af4,An optical disk. It's all here.,31,shift_jis,
0x5076b24,The main hard drive was destroyed|by gunfire.,46,latin-1,
0x5076b64,This is the only remaining copy|of the data.,45,latin-1,
0x5076ba4,What kind of data?,18,shift_jis,
0x5076bc8,All the data collected from|this exercise.,43,latin-1,
0x5076c04,Don't play dumb.,16,shift_jis,
0x5076c28,I know you were sent to get this.,33,shift_jis,
0x5076c5c,I hid it from that sadistic maniac|while he was torturing me.,62,latin-1,
0x5076cac,They don't know that this disk|exists.,39,latin-1,
0x5076ce4,Make sure that you report this|to Jim...to your boss.,54,latin-1,
0x5076d2c,I'll give you my card too.,26,shift_jis,
0x5076d58,It'll open up all security level 2|doors.,42,latin-1,
0x5076d94,Can you walk?,13,shift_jis,
0x5076dcc,...You go on without me.,24,shift_jis,
0x5076df8,They got my password...they don't want|anything else from me.,62,latin-1,
0x5076e48,I have one more question.,25,shift_jis,
0x5076e74,Who or what was that ninja thing?,33,shift_jis,
0x5076ea8,It looked like you knew something.,34,shift_jis,
0x5076edc,That ninja?,11,shift_jis,
0x5076ef8,That was FOX-HOUND's|dark little secret...,43,latin-1,
0x5076f34,Dark little secret?,19,shift_jis,
0x5076f58,An experimental...genome...|soldier...,39,latin-1,
0x5076f90,You know him?,13,shift_jis,
0x5076fb0,You should ask Dr. Naomi Hunter|from FOX-HOUND.,48,latin-1,
0x5076ff4,She knows better than I...,26,shift_jis,
0x5077020,Naomi?,6,shift_jis,
0x5077038,You've got to stop them...,26,shift_jis,
0x5077064,"If it goes public, my company|and I are...finished...",54,latin-1,
0x50770c4,Doesn't Metal Gear use|currently existing technology?,54,latin-1,
0x507710c,"Metal Gear itself does, but...",30,shift_jis,
0x555e9bc,Huh!?,5,shift_jis,
0x555e9d4,What...what did you do to me!?,30,shift_jis,
0x555ea04,Uh...Oooh..No!..Ooh,19,shift_jis,
0x555ea28,"Oh no, It can't be!...",22,shift_jis,
0x555ea50,...those Pentagon bastards!,27,shift_jis,
